영화인명,영화인 코드,분야,필모리스트
크리스찬 리버스,10051181,감독,모털 엔진
윤준상,10054516,감독,런닝맨 : 풀룰루의 역습|초혼
밥 퍼시케티,10062679,감독,스파이더맨: 뉴 유니버스
폴 페이그,10083870,감독,부탁 하나만 들어줘|고스트버스터즈|스파이|더 히트|내 여자친구의 결혼식|성탄절 전야의 공항 대소동|아이 엠 데이빗
강형철,10000946,감독,스윙키즈|타짜-신의 손|써니 감독판|써니|과속스캔들
제임스 완,10064265,감독,아쿠아맨|애나벨 : 인형의 주인|컨저링 2|분노의 질주: 더 세븐|인시디어스: 두번째 집|컨저링|인시디어스|데드 사일런스|쏘우
우민호,20111283,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?
타카하시 와타루,20114371,감독,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~|짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격|짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습|극장판 아따맘마3D : 엄마는 초능력자
야지마 테츠오,10050389,감독,극장판 포켓몬스터 모두의 이야기
트래비스 나이트,20245489,감독,범블비|쿠보와 전설의 악기
김병우,10004291,감독,PMC: 더 벙커|더 테러 라이브|리튼|아나모픽
리치 무어,20121802,감독,주먹왕 랄프 2: 인터넷 속으로|주토피아|주먹왕 랄프|심슨 가족|퓨쳐라마
강효진,10000970,감독,내안의 그놈|양아치 느와르|폭력의 법칙: 나쁜 피 두 번째 이야기|미쓰 와이프|나쁜 피|육혈포 강도단|펀치레이디|맨손으로 죽여라?|조폭마누라
피터 패럴리,10086073,감독,"그린 북|덤 앤 더머 투|바보 삼총사|홀 패스|하트브레이크 키드|날 미치게하는 남자|붙어야 산다|내겐 너무 가벼운 그녀|미, 마이셀프 앤드 아이린|메리에겐 뭔가 특별한 것이 있다 |킹 핀 |덤 앤 더머 "
M. 나이트 샤말란,10091491,감독,글래스|23 아이덴티티|더 비지트|애프터 어스|라스트 에어벤더|해프닝|레이디 인 더 워터|빌리지|싸인|언브레이커블|식스 센스|와이드 어웨이크
호소다 마모루,10089218,감독,미래의 미라이|괴물의 아이|늑대아이|썸머 워즈|시간을 달리는 소녀|원피스 6기 극장판 : 오마츠리 남작과 비밀의 섬|게게게 키타로: 키타로의 유령전철
이병헌,20125862,감독,"극한직업|레슬러|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다"
안드레스 코투리어,10043130,감독,몬스터 파크
한준희,20183664,감독,뺑반|차이나타운|사이코메트리|시나리오 가이드
딘 데블로이스,10013583,감독,드래곤 길들이기 3|드래곤 길들이기 2|드래곤 길들이기|헤이마|릴로와 스티치
나딘 라바키,10006823,감독,"가버나움|사랑해, 리우|카라멜"
